"item_name","item_price"
"Blueberries",2.7
"Cucumber",3.05
"Organic Baby Carrots",4.12
"Organic Greenhouse Grape Tomatoes",1.16
"Yellow Onion",1.85
"Broccoli",1.97
"Garlic",3.61
"Red Bell Pepper",4.15
"Cilantro",0.85
"Green Bell Pepper",4.03
"Red Raspberries",4.01
"Brussels Sprouts",0.93
"Lime",3.02
"Hass Avocado",4.08
"Mandarin Oranges",2.08
"Red Apple",1.08
"Green Seedless Grapes",4.2
"Organic Roma Tomatoes",3.46
"Organic Carrots",4.23
"Ginger",3.17
"Iceberg Lettuce",4.04
"Cauliflower",4.15
"Fresh Atlantic Salmon",1.54
"Lean Ground Turkey",2.39
"Hand-Trimmed Boneless, Skinless Chicken",3.86
"Beef Stew Meat",4.06
"Boneless Center Cut Pork Chops",2.79
"Choice Beef Chuck Roast",2.56
"Lean Ground Beef",1.61
"Crispy Tenders",1.34
"Choice Flat Iron Steak",3.06
"Original Breakfast Sausage Links",1.55
